steps,tol,time,valid_prob,best_prob,best_valid,best_cost,optimal_cost
3,0.01,15.756426095962524,0.0745,0.0654,True,7.0,7.0
3,0.001,15.26983094215393,0.0625,0.0277,False,nan,7.0
1,0.1,24.755645751953125,0.0357,0.0127,False,nan,7.0
1,0.01,20.585548162460327,0.0316,0.0194,False,nan,7.0
1,0.001,16.123509883880615,0.0162,0.0097,False,nan,7.0
2,0.1,39.90467596054077,0.058,0.0473,True,7.0,7.0
2,0.01,20.48378324508667,0.0597,0.035,False,nan,7.0
2,0.001,14.663586139678955,0.0137,0.0033,False,nan,7.0
3,0.1,17.678041219711304,0.015,0.0118,False,nan,7.0
3,0.01,18.95687222480774,0.0309,0.0138,True,9.0,7.0
3,0.001,11.210185050964355,0.0223,0.0293,False,nan,7.0
1,0.1,12.358841180801392,0.0317,0.0728,False,nan,7.0
1,0.01,9.89352297782898,0.0429,0.0133,False,nan,7.0
1,0.001,17.0368390083313,0.0397,0.0162,True,7.0,7.0
2,0.1,12.203917026519775,0.0313,0.0182,False,nan,7.0
2,0.01,10.217072248458862,0.0241,0.0156,False,nan,7.0
2,0.001,16.621579885482788,0.0126,0.0205,False,nan,7.0
3,0.1,12.585678100585938,0.0542,0.026,True,9.0,7.0
3,0.01,14.510221004486084,0.0156,0.0277,False,nan,7.0
3,0.001,20.286449909210205,0.0348,0.0116,False,nan,7.0
1,0.1,17.201093196868896,0.0332,0.0171,False,nan,7.0
1,0.01,21.572673797607422,0.0082,0.013,False,nan,7.0
1,0.001,12.842571020126343,0.0195,0.0114,False,nan,7.0
2,0.1,15.22334098815918,0.0233,0.0137,False,nan,7.0
2,0.01,16.993129014968872,0.0386,0.0182,True,9.0,7.0
2,0.001,20.11642599105835,0.0453,0.0223,False,nan,7.0
3,0.1,11.797322988510132,0.0444,0.0204,False,nan,7.0
3,0.01,19.80340814590454,0.0061,0.1003,False,nan,7.0
3,0.001,24.572190046310425,0.0705,0.0619,True,7.0,7.0
1,0.1,18.953552722930908,0.0296,0.0141,False,nan,7.0
1,0.01,13.848860263824463,0.0057,0.0082,False,nan,7.0
1,0.001,14.510860204696655,0.0185,0.0126,False,nan,7.0
2,0.1,20.150065898895264,0.0692,0.0196,True,8.0,7.0
2,0.01,22.102965116500854,0.014,0.0136,False,nan,7.0
2,0.001,13.450994968414307,0.0654,0.0325,True,9.0,7.0
3,0.1,15.582353115081787,0.0239,0.0677,False,nan,7.0
3,0.01,40.404524087905884,0.0335,0.0162,False,nan,7.0
3,0.001,19.96098518371582,0.0229,0.0137,False,nan,7.0
1,0.1,54.78520393371582,0.047,0.0143,False,nan,7.0
1,0.01,33.270672082901,0.0285,0.0178,False,nan,7.0
1,0.001,11.049618005752563,0.0375,0.016,True,9.0,7.0
2,0.1,7.0172460079193115,0.0083,0.009,False,nan,7.0
2,0.01,4.2319440841674805,0.0293,0.0445,False,nan,7.0
2,0.001,4.729289770126343,0.009,0.0097,False,nan,7.0
3,0.1,4.21769118309021,0.0175,0.0042,False,nan,7.0
3,0.01,4.123932123184204,0.1064,0.025,False,nan,7.0
3,0.001,4.7512757778167725,0.0384,0.0232,False,nan,7.0
1,0.1,7.054959058761597,0.0219,0.0322,False,nan,7.0
1,0.01,4.312559127807617,0.0172,0.0125,False,nan,7.0
